ct20_id,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1-FAM RES,count_2-FAM RES,count_3-FAM RES,count_CONDOMINIUM,count_RES DEV LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhapi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25017341600,1925,365000,182019,273340,7,2,3,4278,1573,2426,73000,27.69,1550.5,10,55,3,13,7,6,0,41,0,9,59,23,6,14,64,65,64,334,29,13,36,666,40,722,62,334,151,42,223,3,65.8,784,2020,6985,3420,3565,1173,4777,1035,3280,923,6,1424,1,1425,173,456,722,1683,2705,1683,684,428,300,174,62,35,1022,746,209,40,14,8,5,0,2017-21,81910,24078,129107,29265,36699,29534
25017350202,1900,601000,239700,407437.5,6,2,3,0,1426,2240,116750,28.45,1450.5,10,66,7,10,4,1,0,97,0,8,35,10,4,4,44,44,44,68,58,10,14,428,20,462,68,68,100,46,283,0,68.7,530,2020,3860,1922,1938,478,2988,394,2657,167,5,317,0,317,82,245,387,731,1667,731,349,179,138,39,20,6,936,511,275,100,32,14,4,0,2017-21,114622,22613,144048,60736,108688,20606
25017383501,1939,342000,190000,287100,7,2,3,8999,1630,2330,61000,17.78,1650.5,8,36,11,11,8,1,0,22,0,6,41,19,2,2,21,22,21,221,13,4,10,268,10,263,42,221,41,6,0,3,71.5,305,2020,4674,2319,2355,900,2943,831,1947,384,14,515,0,515,325,440,1049,1098,2062,1098,478,307,189,83,18,23,964,755,165,25,12,2,0,5,2017-21,53929,21819,140811,33035,43802,9414
25017336300,1920,460000,229000,369000,6,2,3,6355,1707,1880.5,120000,34.38,1750.5,11,46,16,26,6,9,0,45,0,15,102,19,10,8,120,119,120,909,42,20,28,1023,42,1103,52,909,79,5,116,5,65.3,1155,2020,6985,3314,3671,1613,4199,1173,5813,142,6,454,4,458,52,237,277,1936,2557,1936,642,524,537,175,43,15,621,499,105,11,3,3,0,0,2017-21,144737,39109,157964,40034,137292,90239
25025030301,1972,885000,481250,120937.5,3,2,1,1174,1174,2194.5,226000,33.805,1150.5,13,41,1,49,1,0,0,34,0,3,81,4,0,0,47,48,47,0,8,9,30,485,34,525,41,0,0,0,546,0,64.7,566,2020,1385,668,717,127,758,500,1154,4,0,140,3,143,10,22,52,380,783,380,288,54,26,5,4,3,403,340,51,6,3,3,0,0,2017-21,119720,53604,119276,51346,157976,100213
25017355000,1920,661000,3e+05,381600,6,2,2,0,1286,2258,160000,34.92,1250.5,14,38,3,15,0,0,0,29,0,4,31,1,0,6,24,23,24,50,6,14,9,300,14,304,39,50,43,15,209,1,74.3,343,2020,3129,1517,1612,434,2163,532,1997,363,2,352,0,352,27,171,217,660,1436,660,347,156,101,35,13,8,776,520,193,45,15,3,0,0,2017-21,124250,40256,177188,21520,101458,24953
25023503102,1967,437500,210000,356250,7,2,3,33541,1930,2209,74988.5,19.02,1950.5,10,79,16,58,19,5,0,67,0,31,155,43,8,1,111,122,111,920,33,15,49,925,44,974,92,920,14,3,0,28,70,1066,2020,7428,3535,3893,1830,4175,1423,6881,43,4,117,1,118,39,198,145,1955,2641,1955,657,403,531,246,87,31,686,624,44,11,5,0,0,2,2017-21,151678,11315,168692,22162,17577,4025
25009210402,1951,359950,187500,299662.5,7,2,3,7018,1532,2064,76300,27.06,1550.5,9,55,8,14,3,6,0,40,0,12,65,15,8,1,63,70,63,428,24,11,10,504,21,514,56,428,35,8,55,5,67.4,570,2020,4133,1984,2149,777,2570,786,3380,95,0,87,1,88,40,204,326,1131,1593,1131,456,289,244,84,38,20,462,370,80,8,4,0,0,0,2017-21,93438,24162,106250,25242,0,0
25021401202,1984,1100000,627500,413500,7,3,3,0,2304.5,2314.5,258000,28.19,2350.5,16,31,1,25,0,0,0,25,0,0,35,0,0,0,19,22,19,92,3,3,6,234,8,223,31,92,11,1,138,5,61.8,254,2020,1707,832,875,292,927,488,1196,91,0,222,0,222,33,74,91,406,613,406,205,85,74,24,15,3,207,175,19,5,2,6,0,0,2017-21,89294,44229,165565,98086,35370,26164
25009217602,1925,617500,289000,369575,7,3,4,20580,2405,2350,76000,13.545,2450.5,10,36,9,32,2,1,0,29,0,6,76,6,1,0,37,38,37,329,8,3,15,419,21,428,38,329,14,8,62,8,73.4,466,2020,4756,2040,2716,389,3768,599,4357,38,7,73,1,74,62,55,163,689,977,689,346,160,132,36,9,6,288,235,39,11,2,1,0,0,2017-21,223134,75825,223703,39710,0,0
25009208401,1975,368500,220000,227500,6,2,3,12502,1736,2503.5,33140,10.03,1750.5,10,22,4,15,2,1,0,22,0,2,51,7,0,1,27,26,27,214,11,6,12,345,8,357,25,214,1,0,136,4,74.3,382,2020,2968,1415,1553,398,1846,724,2328,80,7,173,0,173,52,144,184,800,1213,800,377,164,149,72,25,13,413,336,62,5,6,4,0,0,2017-21,118807,41799,125950,42971,0,0
25017358300,1979,835000,390000,535425,8,3,4,16775,2499,2194,240000,37.92,2550.5,12,73,13,27,2,1,0,65,0,15,105,4,1,0,99,98,99,573,28,13,24,623,24,638,74,573,6,0,102,4,69.5,712,2020,6380,2991,3389,1651,3360,1369,3259,158,2,2373,0,2373,46,264,278,1722,2322,1722,567,417,514,153,52,19,600,540,45,8,3,1,1,2,2017-21,200242,34164,250001,0,98547,42729
25017352102,1905,695000,425000,258750,4,2,2,0,1120,2231,160800,30.21,1150.5,13,70,5,31,0,0,0,97,0,6,51,2,1,21,39,45,39,29,10,8,19,509,19,495,70,29,25,6,453,1,66.7,565,2020,2663,1308,1355,270,1836,557,1695,103,1,524,3,527,32,113,192,583,1364,583,372,120,68,17,4,2,781,541,170,45,14,8,3,0,2017-21,135078,30871,151447,39415,129028,47927
25017358400,1962,935500,406125,578000,9,3,4,13675,2646,2057,231226,33.46,2650.5,11,91,9,48,2,0,0,81,0,13,122,5,0,0,99,101,99,697,37,20,29,759,35,787,93,697,9,0,114,4,69.3,880,2020,5285,2510,2775,1283,2806,1196,3195,51,2,1563,0,1563,35,257,182,1473,1831,1473,508,337,447,138,28,15,358,311,39,6,2,0,0,0,2017-21,159970,16069,197833,33764,0,0
25017333601,1984,610500,151600,271125,0,1,0,15988.5,1735.5,2050,90500,15.61,1900.5,7,69,5,10,2,2,0,43,0,17,28,5,2,12,13,14,13,51,6,3,7,155,5,105,71,51,3,0,5,14,68.8,176,2020,1550,762,788,264,1145,141,903,131,4,256,0,256,43,88,125,365,701,365,145,116,65,24,8,7,336,223,104,4,5,0,0,0,2017-21,127944,16328,136029,52086,127661,30272
25025070302,1948,1256250,757250,309000,4,2,2,1235,1290,2432,215000,28.14,1250.5,13,82,3,78,0,0,0,67,0,7,88,2,0,0,53,50,53,29,3,4,14,526,19,484,82,29,4,4,476,0,65.7,566,2020,2090,1045,1045,179,1317,594,1426,55,0,426,1,427,13,64,105,451,1182,451,333,71,39,6,1,1,731,560,143,17,5,3,3,0,2017-21,151513,58848,250001,0,0,0
25025110401,1920,389250,209825,299962.5,6,2,3,1729,1466,2009,75000,23.85,1450.5,11,30,3,6,6,2,0,42,0,2,23,12,5,1,32,32,32,77,13,11,10,328,22,349,35,77,40,19,233,1,64.1,384,2020,3625,1709,1916,678,2462,485,1282,902,3,125,1,126,16,152,1144,879,1368,879,348,205,192,76,39,19,489,313,132,28,8,6,2,0,2017-21,78468,11123,125234,49807,67713,7446
25025000804,1935,459950,303000,226600,4,2,2,1368,1198,2574,67724,19.18,1250.5,10,71,3,15,1,2,0,41,0,11,29,4,4,1,32,30,32,45,24,16,33,266,21,288,72,45,42,22,194,1,72.5,360,2020,3813,2047,1766,515,3021,277,1661,217,5,824,4,828,70,214,818,593,1444,593,203,168,127,59,23,13,851,346,269,135,51,34,11,5,2017-21,100048,13515,109178,14522,90551,36241
25025101101,1920,369000,147000,324000,10,2,4,4220,2820,1934,105643,35.795,2850.5,11,40,2,7,2,4,0,35,0,3,13,12,7,4,31,31,31,35,16,13,8,163,11,169,42,35,62,34,49,4,68.7,211,2020,3522,1579,1943,849,2209,464,108,2436,7,28,0,28,35,156,752,873,1233,873,256,256,185,105,43,28,360,279,46,18,11,6,0,0,2017-21,59226,24852,81481,46215,54677,13171
25025081400,1905,445500,147000,304375,5,2,3,1584.5,1540.5,2702,112819.5,42.395,1650.5,11,88,5,16,4,3,0,59,0,5,25,12,3,4,36,33,36,30,24,12,27,253,34,258,92,30,52,42,158,8,72.3,350,2020,3774,1850,1924,515,2801,458,1172,1324,9,326,1,327,33,225,684,705,1558,705,275,194,126,65,33,12,853,525,152,85,68,15,8,0,2017-21,59464,24798,116563,18159,38925,5373
25025160502,1919,328000,212000,240000,4,1,2,1869,1250,1912.5,67750,30,1250.5,11,96,13,22,13,4,1,76,0,13,50,38,7,2,70,73,70,75,46,9,32,482,26,488,107,75,68,52,283,8,61.5,595,2020,5604,2770,2834,1492,3687,425,1048,314,11,212,2,214,78,159,3780,1198,1846,1198,302,294,259,176,84,83,648,490,110,27,7,6,3,5,2017-21,53692,16801,100972,43299,27773,2981
25025092300,1905,392787,198000,310000,11,3,6,4157,3048,1780,107000,40,3050.5,10,48,5,12,5,8,0,36,0,7,15,27,7,4,41,44,41,58,30,19,16,176,14,202,53,58,48,94,12,1,62,255,2020,3301,1476,1825,893,2045,363,119,2033,16,131,0,131,58,204,740,770,1085,770,212,205,182,97,39,35,315,262,27,10,12,1,3,0,2017-21,71667,21449,90938,18822,50568,27256
25025070102,2000,1101000,545000,0,4,2,2,1195,1195,2453,163766,19.42,1150.5,12,120,24,112,4,3,0,76,0,26,118,10,3,0,73,73,73,0,9,26,24,880,58,876,121,0,0,0,898,0,67.2,997,2020,3687,1869,1818,150,2793,744,2194,232,7,745,4,749,20,132,353,473,1223,473,345,68,42,10,5,3,750,605,110,15,19,0,1,0,2017-21,55724,45313,250001,0,0,0
25009221700,1900,300900,131500,224000,0,2,3,3500,1494,2430,50500,21.465,1550.5,12,32,7,15,6,2,0,11,0,5,37,16,3,2,25,27,25,140,9,18,9,284,13,299,34,140,74,21,58,7,70.6,333,2020,2878,1344,1534,510,1750,618,2463,27,7,49,0,49,43,132,157,723,1284,723,301,212,110,66,25,9,561,477,68,11,2,2,0,1,2017-21,64375,18297,86250,37557,43021,15853
25017331300,1991,420000,231000,350000,7,2,3,21780,1694,2155.5,85000,23.4,1750.5,10,48,19,59,7,7,0,72,0,34,139,26,10,2,133,135,133,898,44,18,28,874,36,944,56,898,2,0,6,43,66.9,1000,2020,7477,3733,3744,1599,4731,1147,6417,89,6,408,0,408,50,249,258,2082,2569,2082,684,517,607,171,63,40,487,382,90,11,3,0,0,1,2017-21,148375,21741,157267,22070,0,0
